dataset,condition,run_index,run_seed,feature_id,display_name,relevance,confidence,request_key
golub,real,3,31,F002373,hGATA3 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F002045,Mrp17 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000099,KIAA0107 gene expression,1,2,real_run3_golub_chunk001
golub,real,3,31,F000411,HG2325-HT2421_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001250,sdhB gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002144,mpp11 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001912,RING6 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002826,GenBank accession U44799 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000722,GenBank accession L76224 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000433,HG3355-HT3532_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001056,macrophage capping protein gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000454,HG4074-HT4344_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001275,FBP1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001187,GenBank accession U08989 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002713,GenBank accession X13810 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001937,GenBank accession X66365 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000585,GenBank accession L13434 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000537,GenBank accession L00635 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000754,CSPG1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002797,6-16 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002659,ELA1 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F000145,GenBank accession D28137 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000015,GenBank accession M27830 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002632,GenBank accession U43185 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002684,GenBank accession M26041 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002234,GenBank accession Z35093 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000436,HG3494-HT3688_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001359,GenBank accession U37352 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002650,BCL2 gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F000800,GenBank accession M22877 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F000554,GenBank accession L06633 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F002492,HG274-HT274_s_at expression feature,0,3,real_run3_golub_chunk001
golub,real,3,31,F001632,GenBank accession U79260 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001993,PPPICC gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002510,MANB gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F001642,GenBank accession U79291 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001740,CHRNG gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002721,HLA-DP gene expression,2,3,real_run3_golub_chunk001
golub,real,3,31,F001681,GenBank accession U87972 expression,0,2,real_run3_golub_chunk001
golub,real,3,31,F001427,GNB3 gene expression,1,3,real_run3_golub_chunk001
golub,real,3,31,F002921,LYZ gene expression,4,3,real_run3_golub_chunk001
