sample_id,repeat,test_fold,n_splits,split_seed,strategy
1,1,3,5,1749247394,StratifiedKFold(shuffle=True)
2,1,2,5,1749247394,StratifiedKFold(shuffle=True)
3,1,1,5,1749247394,StratifiedKFold(shuffle=True)
4,1,3,5,1749247394,StratifiedKFold(shuffle=True)
5,1,1,5,1749247394,StratifiedKFold(shuffle=True)
6,1,1,5,1749247394,StratifiedKFold(shuffle=True)
7,1,2,5,1749247394,StratifiedKFold(shuffle=True)
8,1,5,5,1749247394,StratifiedKFold(shuffle=True)
9,1,1,5,1749247394,StratifiedKFold(shuffle=True)
10,1,1,5,1749247394,StratifiedKFold(shuffle=True)
11,1,3,5,1749247394,StratifiedKFold(shuffle=True)
12,1,1,5,1749247394,StratifiedKFold(shuffle=True)
13,1,5,5,1749247394,StratifiedKFold(shuffle=True)
14,1,5,5,1749247394,StratifiedKFold(shuffle=True)
15,1,2,5,1749247394,StratifiedKFold(shuffle=True)
16,1,4,5,1749247394,StratifiedKFold(shuffle=True)
17,1,2,5,1749247394,StratifiedKFold(shuffle=True)
18,1,2,5,1749247394,StratifiedKFold(shuffle=True)
19,1,2,5,1749247394,StratifiedKFold(shuffle=True)
20,1,2,5,1749247394,StratifiedKFold(shuffle=True)
21,1,5,5,1749247394,StratifiedKFold(shuffle=True)
22,1,3,5,1749247394,StratifiedKFold(shuffle=True)
23,1,3,5,1749247394,StratifiedKFold(shuffle=True)
24,1,2,5,1749247394,StratifiedKFold(shuffle=True)
25,1,2,5,1749247394,StratifiedKFold(shuffle=True)
26,1,1,5,1749247394,StratifiedKFold(shuffle=True)
27,1,4,5,1749247394,StratifiedKFold(shuffle=True)
28,1,3,5,1749247394,StratifiedKFold(shuffle=True)
29,1,1,5,1749247394,StratifiedKFold(shuffle=True)
30,1,2,5,1749247394,StratifiedKFold(shuffle=True)
31,1,5,5,1749247394,StratifiedKFold(shuffle=True)
32,1,5,5,1749247394,StratifiedKFold(shuffle=True)
33,1,5,5,1749247394,StratifiedKFold(shuffle=True)
34,1,3,5,1749247394,StratifiedKFold(shuffle=True)
35,1,4,5,1749247394,StratifiedKFold(shuffle=True)
36,1,3,5,1749247394,StratifiedKFold(shuffle=True)
37,1,3,5,1749247394,StratifiedKFold(shuffle=True)
38,1,1,5,1749247394,StratifiedKFold(shuffle=True)
39,1,4,5,1749247394,StratifiedKFold(shuffle=True)
40,1,2,5,1749247394,StratifiedKFold(shuffle=True)
41,1,5,5,1749247394,StratifiedKFold(shuffle=True)
42,1,4,5,1749247394,StratifiedKFold(shuffle=True)
43,1,4,5,1749247394,StratifiedKFold(shuffle=True)
44,1,4,5,1749247394,StratifiedKFold(shuffle=True)
45,1,3,5,1749247394,StratifiedKFold(shuffle=True)
46,1,4,5,1749247394,StratifiedKFold(shuffle=True)
47,1,1,5,1749247394,StratifiedKFold(shuffle=True)
48,1,5,5,1749247394,StratifiedKFold(shuffle=True)
49,1,5,5,1749247394,StratifiedKFold(shuffle=True)
50,1,1,5,1749247394,StratifiedKFold(shuffle=True)
51,1,5,5,1749247394,StratifiedKFold(shuffle=True)
52,1,4,5,1749247394,StratifiedKFold(shuffle=True)
53,1,4,5,1749247394,StratifiedKFold(shuffle=True)
54,1,3,5,1749247394,StratifiedKFold(shuffle=True)
55,1,3,5,1749247394,StratifiedKFold(shuffle=True)
56,1,4,5,1749247394,StratifiedKFold(shuffle=True)
57,1,5,5,1749247394,StratifiedKFold(shuffle=True)
58,1,4,5,1749247394,StratifiedKFold(shuffle=True)
59,1,1,5,1749247394,StratifiedKFold(shuffle=True)
60,1,1,5,1749247394,StratifiedKFold(shuffle=True)
61,1,2,5,1749247394,StratifiedKFold(shuffle=True)
62,1,2,5,1749247394,StratifiedKFold(shuffle=True)
