feature_id,data_score,data_rank,cv_mean_oriented_auc,cv_sd_oriented_effect,relevance_scaled,confidence_scaled,agreement,reliability,text_score,condition,llm_runs,text_rank,data_rank_for_hybrid,data_uncertainty_rank,adaptive_text_weight,text_priority,adaptive_consensus
F000001,0.0,0.3472361809045226,0.6111111111111112,0.4811252243246882,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.4979899497487437,0.3734924623115578,0.2772034165803894,0.3557758326809929
F000002,0.0,0.3472361809045226,0.3472222222222222,0.488288773090193,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.514070351758794,0.38555276381909553,0.2801790990126512,0.3560515832933512
F000003,0.0,0.3472361809045226,0.4305555555555555,0.4738533919231106,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.48391959798994977,0.3629396984924623,0.2745996944521603,0.3555345508951794
F000004,0.0,0.3472361809045226,0.6111111111111112,0.6309898162000305,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.7530150753768844,0.5647613065326633,0.3243958801545415,0.3601490650488624
F000005,0.4510034825212683,0.9756281407035176,0.8194444444444444,0.3757708127352412,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.9756281407035176,0.3394472361809045,0.2545854271356784,0.24786504759980807,0.8214696282922148
F000006,0.0,0.3472361809045226,0.375,0.6614378277661477,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.7871859296482412,0.5903894472361809,0.3307192053230979,0.3607350351001237
F000007,0.0,0.3472361809045226,0.4305555555555555,0.4738533919231106,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.48391959798994977,0.3629396984924623,0.2745996944521603,0.3555345508951794
F000008,0.2974642264589466,0.9216080402010052,0.6805555555555556,0.1272937693043289,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.9216080402010052,0.04195979899497487,0.031469849246231155,0.1928149226029646,0.9042521811317897
F000009,0.0,0.3472361809045226,0.5972222222222222,0.8347210667398177,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.9155778894472362,0.6866834170854271,0.3544781697431883,0.36293673139567184
F000010,0.0,0.3472361809045226,0.4861111111111111,0.2926570486903539,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.2608040201005025,0.1956030150753769,0.23331210070452765,0.3517085111487083
F000011,0.5853276880479024,0.9879396984924624,0.8888888888888888,0.3849001794597506,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.9879396984924624,0.385929648241206,0.2894472361809045,0.2564666296305649,0.8091078508118482
F000012,0.0,0.3472361809045226,0.6527777777777778,0.6684005230842202,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.7989949748743719,0.5992462311557789,0.3329044721092902,0.3609375394560743
F000013,0.0,0.3472361809045226,0.3888888888888889,0.693888666488711,0.25,1.0,1.0,1.0,0.25,real,3,0.8304020100502513,0.3472361809045226,0.828894472361809,0.6216708542713567,0.75935882300952,0.647606294664276
F000014,0.0,0.3472361809045226,0.1944444444444444,0.3469443332443554,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.2914572864321608,0.2185929648241206,0.23898449534102673,0.3522341607535163
F000015,0.5853276880479024,0.9879396984924624,0.8888888888888888,0.3849001794597506,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.9879396984924624,0.385929648241206,0.2894472361809045,0.2564666296305649,0.8091078508118482
F000016,0.1020902318637188,0.7766331658291458,0.7083333333333334,0.6291528696058958,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.7766331658291458,0.7339195979899498,0.5504396984924623,0.3208622572662307,0.5528614492058281
F000017,0.0,0.3472361809045226,0.6111111111111112,0.4811252243246882,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.4979899497487437,0.3734924623115578,0.2772034165803894,0.3557758326809929
F000018,0.0,0.3472361809045226,0.2222222222222222,0.5091750772173156,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.592462311557789,0.4443467336683417,0.29468555086992754,0.35739586752859775
F000019,0.1504840084734488,0.8301507537688442,0.6388888888888888,0.2545875386086578,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.8301507537688442,0.17336683417085427,0.1300251256281407,0.21713182747910406,0.7703326620539885
F000020,0.2974642264589466,0.9216080402010052,0.6805555555555556,0.1272937693043289,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.9216080402010052,0.04195979899497487,0.031469849246231155,0.1928149226029646,0.9042521811317897
F000021,0.0,0.3472361809045226,0.5277777777777778,0.4194352464039305,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.3472361809045226,0.43366834170854274,0.32525125628140705,0.26530068685134217,0.35467283023155977
F000022,0.0,0.3472361809045226,0.4166666666666667,0.2886751345948129,0.25,1.0,1.0,1.0,0.25,real,3,0.8304020100502513,0.3472361809045226,0.22688442211055276,0.17016331658291456,0.509403645109972,0.4294532808514936
F000023,0.1898569058357866,0.8683417085427135,0.7222222222222222,0.5091750772173156,0.0,1.0,1.0,1.0,0.0,real,3,0.3701005025125628,0.8683417085427135,0.592462311557789,0.4443467336683417,0.29468555086992754,0.6469498560642407
